imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,13.787811900023371,14.742698300047778,14.742698300047778,space,0.5960934000322595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,15.37601160001941,15.37601160001941,space,0.41083069995511323,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.339054899988696,16.651006100000814,16.651006100000814,16.651006100000814,16.651006100000814,0,0.8,1,right,0,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,1,0.010238899965770543,19.89271819998976,19.89271819998976,19.89271819998976,19.89271819998976,1,1,1,right,1,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,1,0.009688699967227876,21.33429240004625,21.33429240004625,21.33429240004625,21.33429240004625,1,1,1,right,1,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,1,0.010459599900059402,22.75108319998253,22.75108319998253,22.75108319998253,22.75108319998253,1,1,1,right,1,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
ulandscape,0,0,0,9,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.9754972686059782,0.009576700045727193,24.15935219998937,24.15935219998937,24.15935219998937,24.15935219998937,1,0.9754972686059782,1,right,1,,,,,,,,,,,11_zp_2,2023-04-24_19h12.50.759,quest_blur,2022.2.5,120.008544561669,
