imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,37.40799809999953,45.28998049999973,45.28998049999973,space,1.5502039000002696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,46.88194069999918,46.88194069999918,space,2.2703321000008145,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3297992999996495,49.9985889999989,49.9985889999989,49.9985889999989,49.9985889999989,1,0.8,1,right,1,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.010364000001573004,52.10689219999949,52.10689219999949,52.10689219999949,52.10689219999949,1,0.7711677739866264,-1,left,1,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.009707200000775629,53.67355399999906,53.67355399999906,53.67355399999906,53.67355399999906,1,0.6892364930809887,-1,left,1,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.010680999999749474,55.21535210000002,55.21535210000002,55.21535210000002,55.21535210000002,1,0.6252138722597939,1,right,1,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.009739600000102655,56.74851569999919,56.74851569999919,56.74851569999919,56.74851569999919,1,0.5740588781600403,1,right,1,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_1,2023-04-16_21h20.24.085,quest_blur,2022.2.5,119.85923731079306,
