imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,19.055342400009977,24.724475099996198,24.724475099996198,space,1.8438131000148132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,26.608065700012958,26.608065700012958,space,1.6562665999808814,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3324008999916259,29.116367300011916,29.116367300011916,29.116367300011916,29.116367300011916,0,0.8,1,right,0,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,1,0.009994699998060241,30.541233099997044,30.541233099997044,30.541233099997044,30.541233099997044,1,1,1,right,1,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,1,0.009463499998673797,31.991478799987817,31.991478799987817,31.991478799987817,31.991478799987817,1,1,1,right,1,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,1,0.01073420001193881,33.333034699986456,33.333034699986456,33.333034699986456,33.333034699986456,1,1,-1,left,1,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
ushadow,0,0,0,13,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.9754972686059782,0.009458800021093339,34.649778699997114,34.649778699997114,34.649778699997114,34.649778699997114,1,0.9754972686059782,1,right,1,,,,,,,,7_imamura_1,2023-04-20_13h02.25.042,quest_blur,2022.2.5,119.90307034570725,
