imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,19.752341200015508,41.437995000043884,41.437995000043884,space,1.5857339999638498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,43.171543600037694,43.171543600037694,space,1.6202231000643224,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.34043390001170337,45.646522899973206,45.646522899973206,45.646522899973206,45.646522899973206,1,0.8,1,right,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.010169600020162761,47.02135850000195,47.02135850000195,47.02135850000195,47.02135850000195,1,0.7711677739866264,-1,left,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.010061499895527959,48.57986649998929,48.57986649998929,48.57986649998929,48.57986649998929,1,0.6892364930809887,-1,left,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.0104750000173226,50.17139319994021,50.17139319994021,50.17139319994021,50.17139319994021,1,0.6252138722597939,-1,left,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.009796300088055432,51.86309140000958,51.86309140000958,51.86309140000958,51.86309140000958,1,0.5740588781600403,1,right,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.009821300045587122,53.42997299996205,53.42997299996205,53.42997299996205,53.42997299996205,1,0.5312315311569114,-1,left,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.00992069998756051,55.05483939999249,55.05483939999249,55.05483939999249,55.05483939999249,1,0.49592477917827904,-1,left,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
umanmade,0,0,0,11,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.00975790002848953,56.75492600002326,56.75492600002326,56.75492600002326,56.75492600002326,1,0.46698116941993095,1,right,1,,,,,,,,,,,7_imamura_2,2023-04-27_13h22.30.301,quest_blur,2022.2.5,119.93628974871274,
