imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,15.894243499962613,18.558148400043137,18.558148400043137,space,1.2774550000904128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,19.941501699970104,19.941501699970104,space,1.7341839999426156,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3231030000606552,22.508162799989805,22.508162799989805,22.508162799989805,22.508162799989805,1,0.8,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.010260500013828278,24.28316780005116,24.28316780005116,24.28316780005116,24.28316780005116,1,0.7711677739866264,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.009440499939955771,25.516508499975316,25.516508499975316,25.516508499975316,25.516508499975316,1,0.6892364930809887,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.010287699988111854,26.833322099992074,26.833322099992074,26.833322099992074,26.833322099992074,1,0.6252138722597939,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.009522999986074865,28.299953500041738,28.299953500041738,28.299953500041738,28.299953500041738,1,0.5740588781600403,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.009468599921092391,30.83321840001736,30.83321840001736,30.83321840001736,30.83321840001736,1,0.5312315311569114,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.010584800038486719,31.991724299965426,31.991724299965426,31.991724299965426,31.991724299965426,1,0.49592477917827904,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.009536100085824728,33.31660769996233,33.31660769996233,33.31660769996233,33.31660769996233,0,0.46698116941993095,1,right,0,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.5761144376752512,0.011228700052015483,35.15832709998358,35.15832709998358,35.15832709998358,35.15832709998358,1,0.5761144376752512,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.5508171091869217,0.010347699979320168,37.5500131000299,37.5500131000299,37.5500131000299,37.5500131000299,1,0.5508171091869217,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.5297821662640616,0.009660899988375604,38.908508399967104,38.908508399967104,38.908508399967104,38.908508399967104,1,0.5297821662640616,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.5120110765093809,0.009444800089113414,40.49182200001087,40.49182200001087,40.49182200001087,40.49182200001087,1,0.5120110765093809,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
uflower,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_20h18.42.319,quest_blur,2022.2.5,120.02885487696419,
