imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,image1.stopped,image2.stopped,image3.stopped,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,418.2015542999143,418.6852474999614,418.6852474999614,space,0.518987899995409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,419.243641100009,419.243641100009,space,0.46451610000804067,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3292561999987811,420.55197299993597,420.55197299993597,420.55197299993597,420.55197299993597,1,0.8,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.009692199993878603,422.6101498999633,422.6101498999633,422.6101498999633,422.6101498999633,1,0.7711677739866264,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.009419099893420935,424.7268798999721,424.7268798999721,424.7268798999721,424.7268798999721,1,0.6892364930809887,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.010080199921503663,426.15200210001785,426.15200210001785,426.15200210001785,426.15200210001785,1,0.6252138722597939,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
winter,0,0,0,16,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.009514000033959746,428.2352374999318,428.2352374999318,428.2352374999318,428.2352374999318,1,0.5740588781600403,-1,left,1,431.23539289995097,431.23539289995097,431.23539289995097,,,,,,,,13_zyf_1,2023-04-24_21h08.29.624,quest_blur,2022.2.5,119.9977440811116,
