imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,image1.stopped,image2.stopped,image3.stopped,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,36.7633636999999,42.263468600000124,42.263468600000124,space,1.7988190000005488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,44.105214199999864,44.105214199999864,space,1.4772094999998444,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3320290000001478,46.430317999999716,46.430317999999716,46.430317999999716,46.430317999999716,49.430267300000196,49.430267300000196,49.430267300000196,1,0.8,1,right,1,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.011904599999979837,50.52203649999956,50.52203649999956,50.52203649999956,50.52203649999956,,,,1,0.7711677739866264,1,right,1,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.011579799999708484,52.31354519999968,52.31354519999968,52.31354519999968,52.31354519999968,,,,1,0.6892364930809887,-1,left,1,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.013625599999613769,54.96369140000024,54.96369140000024,54.96369140000024,54.96369140000024,,,,1,0.6252138722597939,-1,left,1,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.011582899999666552,57.94724469999983,57.94724469999983,57.94724469999983,57.94724469999983,60.947155400000156,60.947155400000156,60.947155400000156,1,0.5740588781600403,1,right,1,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_zcr_1,2023-04-16_19h07.59.802,quest_noise,2022.2.5,119.99198453551328,
