imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,20.5052122999914,25.61669960001018,25.61669960001018,space,3.5557146000210196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,29.341971099958755,29.341971099958755,space,2.9986108999000862,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3507081000134349,33.208513899939135,33.208513899939135,33.208513899939135,33.208513899939135,1,0.8,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.011526199989020824,34.5333907000022,34.5333907000022,34.5333907000022,34.5333907000022,1,0.7711677739866264,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.011079799965955317,35.59192499995697,35.59192499995697,35.59192499995697,35.59192499995697,1,0.6892364930809887,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.012844800017774105,37.058499600039795,37.058499600039795,37.058499600039795,37.058499600039795,1,0.6252138722597939,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.011131500010378659,38.408582799951546,38.408582799951546,38.408582799951546,38.408582799951546,1,0.5740588781600403,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.01106759998947382,39.40854380000383,39.40854380000383,39.40854380000383,39.40854380000383,1,0.5312315311569114,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.011175299994647503,40.533569299965166,40.533569299965166,40.533569299965166,40.533569299965166,1,0.49592477917827904,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.011542399995960295,41.849884400027804,41.849884400027804,41.849884400027804,41.849884400027804,1,0.46698116941993095,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.4430068457305388,0.01127060002181679,43.26663109997753,43.26663109997753,43.26663109997753,43.26663109997753,1,0.4430068457305388,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.42295195219009735,0.011190099990926683,46.733717099996284,46.733717099996284,46.733717099996284,46.733717099996284,1,0.42295195219009735,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.4063189003109283,0.011100900010205805,48.07536459993571,48.07536459993571,48.07536459993571,48.07536459993571,1,0.4063189003109283,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.39260237199069375,0.011104900040663779,51.15030179999303,51.15030179999303,51.15030179999303,51.15030179999303,1,0.39260237199069375,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,13,12,start,4,lin,0.38103863282156525,0.011221399996429682,52.67531640001107,52.67531640001107,52.67531640001107,52.67531640001107,1,0.38103863282156525,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,14,13,start,4,lin,0.37139804414009503,0.011292100069113076,55.350350099965,55.350350099965,55.350350099965,55.350350099965,1,0.37139804414009503,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,15,14,start,4,lin,0.36330902054639197,0.011406400008127093,57.367117999936454,57.367117999936454,57.367117999936454,57.367117999936454,1,0.36330902054639197,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,16,15,start,4,lin,0.3563983726426918,0.015683799982070923,60.16725389997009,60.16725389997009,60.16725389997009,60.16725389997009,1,0.3563983726426918,-1,left,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,17,16,start,4,lin,0.35040609561670627,0.011077999952249229,63.07569670001976,63.07569670001976,63.07569670001976,63.07569670001976,1,0.35040609561670627,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,18,17,start,4,lin,0.3454867065779402,0.011194600025191903,64.87551819998771,64.87551819998771,64.87551819998771,64.87551819998771,1,0.3454867065779402,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,19,18,start,4,lin,0.34100743337053996,0.011494399979710579,67.74236689996906,67.74236689996906,67.74236689996906,67.74236689996906,0,0.34100743337053996,1,right,0,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,20,19,start,4,lin,0.3594552827154719,0.011676300084218383,70.0590578999836,70.0590578999836,70.0590578999836,70.0590578999836,1,0.3594552827154719,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,21,20,start,4,lin,0.35407540468074983,0.011999899987131357,72.1007069000043,72.1007069000043,72.1007069000043,72.1007069000043,1,0.35407540468074983,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,22,21,start,4,lin,0.3491189920706307,0.011302099912427366,74.30907780001871,74.30907780001871,74.30907780001871,74.30907780001871,1,0.3491189920706307,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,23,22,start,4,lin,0.3449641541097141,0.018248700071126223,76.62569889996666,76.62569889996666,76.62569889996666,76.62569889996666,0,0.3449641541097141,1,right,0,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,24,23,start,4,lin,0.36235652990302897,0.011209100019186735,79.85928690002766,79.85928690002766,79.85928690002766,79.85928690002766,1,0.36235652990302897,1,right,1,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,25,24,start,4,lin,0.3572509724189857,0.0113625000230968,81.82580330001656,81.82580330001656,81.82580330001656,81.82580330001656,0,0.3572509724189857,1,right,0,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
fruit,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8_tanaka_2,2023-04-27_11h08.55.072,quest_noise,2022.2.5,119.9206125084481,
