imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,image1.stopped,image2.stopped,image3.stopped,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,12.544971999945119,15.192450999980792,15.192450999980792,space,0.7520152000943199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,15.973607799969614,15.973607799969614,space,0.8108035000041127,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.35858660005033016,17.659707100014202,17.659707100014202,17.659707100014202,17.659707100014202,1,0.8,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.039201200008392334,19.176444399985485,19.176444399985485,19.176444399985485,19.176444399985485,1,0.7711677739866264,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.039251400041393936,20.34867109998595,20.34867109998595,20.34867109998595,20.34867109998595,1,0.6892364930809887,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.040187699953094125,21.50979019992519,21.50979019992519,21.50979019992519,21.50979019992519,1,0.6252138722597939,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.039281200035475194,22.565311099984683,22.565311099984683,22.565311099984683,22.565311099984683,1,0.5740588781600403,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.04003630008082837,23.676454499945976,23.676454499945976,23.676454499945976,23.676454499945976,1,0.5312315311569114,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.039638400077819824,25.19872669992037,25.19872669992037,25.19872669992037,25.19872669992037,1,0.49592477917827904,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.039553900016471744,27.71535249997396,27.71535249997396,27.71535249997396,27.71535249997396,1,0.46698116941993095,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.4430068457305388,0.039892599917948246,29.576556199928746,29.576556199928746,29.576556199928746,29.576556199928746,1,0.4430068457305388,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.42295195219009735,0.03959559998475015,31.70986569998786,31.70986569998786,31.70986569998786,31.70986569998786,1,0.42295195219009735,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.4063189003109283,0.04002810001838952,33.393242699909024,33.393242699909024,33.393242699909024,33.393242699909024,1,0.4063189003109283,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.39260237199069375,0.04017240006942302,34.826542599941604,34.826542599941604,34.826542599941604,34.826542599941604,1,0.39260237199069375,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,13,12,start,4,lin,0.38103863282156525,0.03893619996961206,36.64328259998001,36.64328259998001,36.64328259998001,36.64328259998001,1,0.38103863282156525,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,14,13,start,4,lin,0.37139804414009503,0.03969940007664263,39.07657329994254,39.07657329994254,39.07657329994254,39.07657329994254,0,0.37139804414009503,1,right,0,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,15,14,start,4,lin,0.4103930157792675,0.03957759996410459,41.359959599911235,41.359959599911235,41.359959599911235,41.359959599911235,0,0.4103930157792675,1,right,0,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,16,15,start,4,lin,0.46303410356405106,0.039489999995566905,43.326666399952956,43.326666399952956,43.326666399952956,43.326666399952956,1,0.46303410356405106,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,17,16,start,4,lin,0.4493134051551112,0.040024699992500246,45.37649099994451,45.37649099994451,45.37649099994451,45.37649099994451,1,0.4493134051551112,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,18,17,start,4,lin,0.43751906316931033,0.0392732999753207,48.39881849999074,48.39881849999074,48.39881849999074,48.39881849999074,0,0.43751906316931033,-1,left,0,51.4086568999337,51.4086568999337,51.4086568999337,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,19,18,start,4,lin,0.4869802846619291,0.040479900082573295,54.11018179997336,54.11018179997336,54.11018179997336,54.11018179997336,1,0.4869802846619291,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,20,19,start,4,lin,0.47497714027091087,0.03957870008889586,56.42671509995125,56.42671509995125,56.42671509995125,56.42671509995125,1,0.47497714027091087,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,21,20,start,4,lin,0.46432591029107245,0.03940659994259477,58.51006699993741,58.51006699993741,58.51006699993741,58.51006699993741,1,0.46432591029107245,1,right,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,22,21,start,4,lin,0.4548614339665165,0.03921379998791963,60.57682570000179,60.57682570000179,60.57682570000179,60.57682570000179,1,0.4548614339665165,-1,left,1,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
landscape,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_wxy_1,2023-04-23_19h54.27.151,quest,2022.2.5,59.9447429618064,
