imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,image1.stopped,image2.stopped,image3.stopped,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,16.347285800031386,17.432958099991083,17.432958099991083,space,0.5801552999764681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,18.05958959995769,18.05958959995769,space,0.7056909999810159,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3779265000484884,19.69761060003657,19.69761060003657,19.69761060003657,19.69761060003657,1,0.8,-1,left,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.04811690002679825,20.961906800046563,20.961906800046563,20.961906800046563,20.961906800046563,1,0.7711677739866264,1,right,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.04137680004350841,21.935471600038,21.935471600038,21.935471600038,21.935471600038,1,0.6892364930809887,1,right,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.059773200075142086,22.91207520000171,22.91207520000171,22.91207520000171,22.91207520000171,1,0.6252138722597939,-1,left,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.04330320004373789,23.98568190005608,23.98568190005608,23.98568190005608,23.98568190005608,1,0.5740588781600403,-1,left,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.04199920000974089,25.012139500002377,25.012139500002377,25.012139500002377,25.012139500002377,1,0.5312315311569114,1,right,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.04243259993381798,26.18575010006316,26.18575010006316,26.18575010006316,26.18575010006316,1,0.49592477917827904,-1,left,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.041473799967207015,27.395286299986765,27.395286299986765,27.395286299986765,27.395286299986765,1,0.46698116941993095,-1,left,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.4430068457305388,0.041396599961444736,28.502440399955958,28.502440399955958,28.502440399955958,28.502440399955958,1,0.4430068457305388,-1,left,1,31.513333500013687,31.513333500013687,31.513333500013687,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.42295195219009735,0.04216610000003129,32.37874760001432,32.37874760001432,32.37874760001432,32.37874760001432,1,0.42295195219009735,1,right,1,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.4063189003109283,0.04142209992278367,34.27876300003845,34.27876300003845,34.27876300003845,34.27876300003845,1,0.4063189003109283,1,right,1,37.278476100065745,37.278476100065745,37.278476100065745,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.39260237199069375,0.04747480002697557,38.178679100004956,38.178679100004956,38.178679100004956,38.178679100004956,0,0.39260237199069375,1,right,0,,,,,,,,,,,13_zyf_2,2023-04-25_19h39.03.383,quest,2022.2.5,59.61326490299301,
