imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,19.571150000000046,44.30150660000004,44.30150660000004,space,1.0389911999999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,45.46529130000005,45.46529130000005,space,3.0032315999999923,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.4126099999999724,49.40153270000002,49.40153270000002,49.40153270000002,49.40153270000002,1,0.8,-1,left,1,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.03843720000003259,52.6242934,52.6242934,52.6242934,52.6242934,1,0.7711677739866264,-1,left,1,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.046546800000044186,53.618379300000015,53.618379300000015,53.618379300000015,53.618379300000015,1,0.6892364930809887,1,right,1,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.045062400000006164,54.7902052,54.7902052,54.7902052,54.7902052,1,0.6252138722597939,1,right,1,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
texture,0,0,0,14,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.03863079999996444,55.81822460000001,55.81822460000001,55.81822460000001,55.81822460000001,1,0.5740588781600403,-1,left,1,,,,,,,,,,,2_sqj_1,2023-04-17_13h50.11.591,quest,2022.2.5,60.71638042940056,
