imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,image1.stopped,image2.stopped,image3.stopped,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,17.739595400000326,22.007575800000268,22.007575800000268,space,1.0796496000002662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,23.157383699999627,23.157383699999627,space,0.7859540000008565,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3831977999998344,24.865604200000234,24.865604200000234,24.865604200000234,24.865604200000234,1,0.8,1,right,1,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.042119199999433476,26.123631300000852,26.123631300000852,26.123631300000852,26.123631300000852,1,0.7711677739866264,1,right,1,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.04244520000065677,27.161420099999305,27.161420099999305,27.161420099999305,27.161420099999305,1,0.6892364930809887,1,right,1,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.042305799999667215,28.95893740000065,28.95893740000065,28.95893740000065,28.95893740000065,1,0.6252138722597939,1,right,1,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
utexture,0,0,0,15,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.044360199999573524,30.592320899999322,30.592320899999322,30.592320899999322,30.592320899999322,1,0.5740588781600403,-1,left,1,,,,,,,,,,,3_ltw_2,2023-04-17_17h54.35.990,quest,2022.2.5,60.242451771776146,
