imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,18.656780500008608,23.08678850000433,23.08678850000433,space,0.922399699993548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,24.13490950000414,24.13490950000414,space,1.362499700000626,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.39042340000742115,26.404109900002368,26.404109900002368,26.404109900002368,26.404109900002368,1,0.8,1,right,1,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.04870889999438077,27.77073190000374,27.77073190000374,27.77073190000374,27.77073190000374,1,0.7711677739866264,-1,left,1,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.041741900000488386,28.90407070000947,28.90407070000947,28.90407070000947,28.90407070000947,1,0.6892364930809887,1,right,1,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.041964200005168095,29.937361800009967,29.937361800009967,29.937361800009967,29.937361800009967,1,0.6252138722597939,1,right,1,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
flower,0,0,0,2,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.04343590000644326,31.110321700005443,31.110321700005443,31.110321700005443,31.110321700005443,1,0.5740588781600403,1,right,1,,,,,,,,,,,5_lx_1,2023-04-18_17h08.58.129,quest,2022.2.5,60.44542231699448,
