imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,15.2588332999876,19.0883693999931,19.0883693999931,space,0.5385122000006959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,19.686509299994214,19.686509299994214,space,0.7723933000088437,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.3713186999957543,21.361902099990402,21.361902099990402,21.361902099990402,21.361902099990402,1,0.8,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.03779410000424832,23.00564730000042,23.00564730000042,23.00564730000042,23.00564730000042,1,0.7711677739866264,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.043827200002851896,24.188987299989094,24.188987299989094,24.188987299989094,24.188987299989094,1,0.6892364930809887,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.0407207000098424,25.54532439999457,25.54532439999457,25.54532439999457,25.54532439999457,1,0.6252138722597939,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.037776500001200475,26.755844899991644,26.755844899991644,26.755844899991644,26.755844899991644,1,0.5740588781600403,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.03768409999611322,28.17878319999727,28.17878319999727,28.17878319999727,28.17878319999727,1,0.5312315311569114,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.04739339998923242,29.52255169999262,29.52255169999262,29.52255169999262,29.52255169999262,1,0.49592477917827904,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.038543999995454215,30.545359799987637,30.545359799987637,30.545359799987637,30.545359799987637,1,0.46698116941993095,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.4430068457305388,0.037709099997300655,31.872552699991502,31.872552699991502,31.872552699991502,31.872552699991502,1,0.4430068457305388,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.42295195219009735,0.037404000002425164,33.01216659999045,33.01216659999045,33.01216659999045,33.01216659999045,0,0.42295195219009735,1,right,0,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.4983963213553236,0.044988699999521486,34.1725441999879,34.1725441999879,34.1725441999879,34.1725441999879,1,0.4983963213553236,1,right,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.47888847285771313,0.03750279999803752,35.512131299998146,35.512131299998146,35.512131299998146,35.512131299998146,1,0.47888847285771313,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,13,12,start,4,lin,0.4622975563583374,0.045560200000181794,36.622380999993766,36.622380999993766,36.622380999993766,36.622380999993766,1,0.4622975563583374,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,14,13,start,4,lin,0.44782519495946943,0.04005169999436475,37.845483499986585,37.845483499986585,37.845483499986585,37.845483499986585,1,0.44782519495946943,1,right,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,15,14,start,4,lin,0.4352560946395821,0.03756120000616647,39.48933009999746,39.48933009999746,39.48933009999746,39.48933009999746,1,0.4352560946395821,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,16,15,start,4,lin,0.4241577070261589,0.03849140000238549,40.76205629999458,40.76205629999458,40.76205629999458,40.76205629999458,1,0.4241577070261589,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,17,16,start,4,lin,0.4140730524104648,0.040031700002145953,42.94545729999663,42.94545729999663,42.94545729999663,42.94545729999663,1,0.4140730524104648,-1,left,1,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
shadow,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_zsl_2,2023-04-18_18h25.55.501,quest,2022.2.5,60.030243232714824,
