imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,image1.stopped,image2.stopped,image3.stopped,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,54.03574279998429,58.48797690006904,58.48797690006904,space,2.06807270005811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,60.60274660005234,60.60274660005234,space,1.0652089999057353,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.36353920004330575,62.56127609999385,62.56127609999385,62.56127609999385,62.56127609999385,1,0.8,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.035768099944107234,64.18814440001734,64.18814440001734,64.18814440001734,64.18814440001734,1,0.7711677739866264,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.03526490007061511,65.32783229998313,65.32783229998313,65.32783229998313,65.32783229998313,1,0.6892364930809887,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.041183199966326356,66.55505199998152,66.55505199998152,66.55505199998152,66.55505199998152,1,0.6252138722597939,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.04136519995518029,67.69463839998934,67.69463839998934,67.69463839998934,67.69463839998934,1,0.5740588781600403,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.03678259998559952,69.40503989998251,69.40503989998251,69.40503989998251,69.40503989998251,1,0.5312315311569114,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.03834849991835654,70.63835190003738,70.63835190003738,70.63835190003738,70.63835190003738,1,0.49592477917827904,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.03471530007664114,72.6052372000413,72.6052372000413,72.6052372000413,72.6052372000413,1,0.46698116941993095,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.4430068457305388,0.03479539998807013,74.31135970004834,74.31135970004834,74.31135970004834,74.31135970004834,1,0.4430068457305388,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.42295195219009735,0.03535429993644357,77.2382903000107,77.2382903000107,77.2382903000107,77.2382903000107,1,0.42295195219009735,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.4063189003109283,0.036431999993510544,79.87167370005045,79.87167370005045,79.87167370005045,79.87167370005045,0,0.4063189003109283,1,right,0,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.47310273807369213,0.04125520004890859,81.70511360000819,81.70511360000819,81.70511360000819,81.70511360000819,1,0.47310273807369213,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,13,12,start,4,lin,0.45575272609669837,0.04138720000628382,83.70508099999279,83.70508099999279,83.70508099999279,83.70508099999279,1,0.45575272609669837,1,right,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,14,13,start,4,lin,0.44101387744592174,0.0355631000129506,85.72184290003497,85.72184290003497,85.72184290003497,85.72184290003497,1,0.44101387744592174,-1,left,1,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,15,14,start,4,lin,0.4281395861547871,0.035246900049969554,87.8052311000647,87.8052311000647,87.8052311000647,87.8052311000647,0,0.4281395861547871,1,right,0,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
ufoliage,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_zyf_1,2023-04-24_20h41.39.458,quest,2022.2.5,59.87432378537313,
