imgType,imageType.thisRepN,imageType.thisTrialN,imageType.thisN,imageType.thisIndex,text_instr.started,block_loop.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_type.started,instr_resp.started,instr_resp.keys,instr_resp.rt,staircase.label,staircase.startVal,staircase.startValSd,staircase.pThreshold,staircase.method,staircase.maxVal,staircase.minVal,staircase.range,staircase.thisIndex,staircase.thisRepN,staircase.thisN,staircase.direction,staircase.stepSize,staircase.stepType,staircase.intensity,ISI.started,image1.started,image2.started,image3.started,key_resp.started,staircase.response,level,targetSide,CorrectAns,correct,approxThreshold,std,mean,thanks_text.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,22.442457500030287,29.289757100050338,29.289757100050338,space,1.4456285999622196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,30.80463080003392,30.80463080003392,space,1.7865321000572294,solo,0.8,0.8,0.82,quantile,1,0,1,0,1,0,start,4,lin,0.8,0.39780480007175356,33.506877200095914,33.506877200095914,33.506877200095914,33.506877200095914,1,0.8,-1,left,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,2,1,start,4,lin,0.7711677739866264,0.03887299995403737,34.796295700012706,34.796295700012706,34.796295700012706,34.796295700012706,1,0.7711677739866264,1,right,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,3,2,start,4,lin,0.6892364930809887,0.039079399895854294,35.97339160006959,35.97339160006959,35.97339160006959,35.97339160006959,1,0.6892364930809887,-1,left,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,4,3,start,4,lin,0.6252138722597939,0.03875680000055581,37.21291560004465,37.21291560004465,37.21291560004465,37.21291560004465,1,0.6252138722597939,1,right,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,5,4,start,4,lin,0.5740588781600403,0.04475010000169277,38.44022580003366,38.44022580003366,38.44022580003366,38.44022580003366,1,0.5740588781600403,1,right,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,6,5,start,4,lin,0.5312315311569114,0.038430699962191284,39.71301090007182,39.71301090007182,39.71301090007182,39.71301090007182,1,0.5312315311569114,-1,left,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,7,6,start,4,lin,0.49592477917827904,0.039932899991981685,41.25706239999272,41.25706239999272,41.25706239999272,41.25706239999272,1,0.49592477917827904,1,right,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,8,7,start,4,lin,0.46698116941993095,0.04550999996718019,42.84035090007819,42.84035090007819,42.84035090007819,42.84035090007819,1,0.46698116941993095,1,right,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,9,8,start,4,lin,0.4430068457305388,0.03921469999477267,44.496476100059226,44.496476100059226,44.496476100059226,44.496476100059226,1,0.4430068457305388,-1,left,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,10,9,start,4,lin,0.42295195219009735,0.03892360010650009,46.023545900010504,46.023545900010504,46.023545900010504,46.023545900010504,1,0.42295195219009735,-1,left,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,11,10,start,4,lin,0.4063189003109283,0.039040699950419366,47.55687760002911,47.55687760002911,47.55687760002911,47.55687760002911,1,0.4063189003109283,1,right,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,12,11,start,4,lin,0.39260237199069375,0.03992000001017004,49.096379499998875,49.096379499998875,49.096379499998875,49.096379499998875,1,0.39260237199069375,-1,left,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,13,12,start,4,lin,0.38103863282156525,0.03865989996120334,51.107054300024174,51.107054300024174,51.107054300024174,51.107054300024174,1,0.38103863282156525,-1,left,1,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,solo,0.8,0.8,0.82,quantile,1,0,1,0,14,13,start,4,lin,0.37139804414009503,0.03852469997946173,53.62973280006554,53.62973280006554,53.62973280006554,53.62973280006554,0,0.37139804414009503,1,right,0,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
uanimal,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7_imamura_2,2023-04-27_13h01.15.126,quest,2022.2.5,60.04109212880172,
